Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/10/06 04:00:00,3780.6520844981374,0.0,7536.3713529005345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780.6520844981374,3780.6520844981374,0.0,4200.724538331264,0.0,3780.6520844981374,4200.724538331264
2019/10/06 05:00:00,6049.919856454872,0.0,12542.343374250513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6049.919856454872,6049.919856454872,0.0,6722.133173838747,0.0,6049.919856454872,6722.133173838747
2019/10/06 06:00:00,6233.476942256853,0.0,23785.693683660404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6233.476942256853,6233.476942256853,0.0,6926.085491396504,0.0,6233.476942256853,6926.085491396504
2019/10/06 07:00:00,6685.768239573518,0.0,22417.90164075367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6685.768239573518,6685.768239573518,0.0,7428.631377303908,0.0,6685.768239573518,7428.631377303908
2019/10/06 08:00:00,8856.066630680238,0.0,31765.619641438025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8856.066630680238,8856.066630680238,0.0,9840.074034089153,0.0,8856.066630680238,9840.074034089153
2019/10/06 09:00:00,9131.99807000623,0.0,39862.56973279787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9131.99807000623,9131.99807000623,0.0,10146.664522229143,0.0,9131.99807000623,10146.664522229143
2019/10/06 10:00:00,10878.363835135733,0.0,41534.53675396522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10878.363835135733,10878.363835135733,0.0,12087.070927928591,0.0,10878.363835135733,12087.070927928591
2019/10/06 11:00:00,12237.74094925126,0.0,46106.198375964406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12237.74094925126,12237.74094925126,0.0,13597.489943612509,0.0,12237.74094925126,13597.489943612509
2019/10/06 12:00:00,11955.257493599956,0.0,43799.348155159445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11955.257493599956,11955.257493599956,0.0,13283.619437333287,0.0,11955.257493599956,13283.619437333287
2019/10/06 13:00:00,11576.732757616197,0.0,42290.806844690065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11576.732757616197,11576.732757616197,0.0,12863.036397351332,0.0,11576.732757616197,12863.036397351332
2019/10/06 14:00:00,11370.019862786809,0.0,43764.866228603016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11370.019862786809,11370.019862786809,0.0,12633.355403096453,0.0,11370.019862786809,12633.355403096453
