Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/09/18 19:00:00,14001.900982566816,0.0,33431.79953907264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028874308127670053,0.028874308127670053,0.07551193261207614,0.07551193261207614,0.04598888674862565,5.017259184384272,5.017259184384272,5.1180654668948335,5.1180654668948335,5.043785251101113,14001.900982566816,14001.900982566816,0.0,15557.667758407579,0.0,14001.900982566816,15557.667758407579
2019/09/18 20:00:00,12929.392370282729,0.0,29765.824627862534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007095183497475657,0.007095183497475657,0.07876815105316946,0.07876815105316946,0.02848562125665595,5.001042099245154,5.001042099245154,5.1284703045045745,5.1284703045045745,5.01679763158279,12929.392370282729,12929.392370282729,0.0,14365.991522536371,0.0,12929.392370282729,14365.991522536371
2019/09/18 21:00:00,11838.411655384658,0.0,31663.367131837793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14819378336031708,0.14819378336031708,0.06487455996791403,0.06487455996791403,0.22897445866981786,5.455054850334349,5.455054850334349,5.0871388052610484,5.0871388052610484,6.087792958443714,11838.411655384658,11838.411655384658,0.0,13153.790728205176,0.0,11838.411655384658,13153.790728205176
2019/09/18 22:00:00,9484.284236738335,0.0,27819.208332686205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10542954555607714,0.10542954555607714,0.04945728830845325,0.04945728830845325,0.22775659210208535,5.230208290546685,5.230208290546685,5.05063946334586,5.05063946334586,6.076227009411156,9484.284236738335,9484.284236738335,0.0,10538.093596375928,0.0,9484.284236738335,10538.093596375928
2019/09/18 23:00:00,6397.349541766924,0.0,22832.651978620062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432682660461919,0.07432682660461919,0.019518454391894913,0.019518454391894913,0.2082333403925116,5.114387734302639,5.114387734302639,5.007886405718921,5.007886405718921,5.89930239593491,6397.349541766924,6397.349541766924,0.0,7108.166157518804,0.0,6397.349541766924,7108.166157518804
2019/09/19 00:00:00,4087.3829834528256,0.0,17244.394852931775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06750756934229067,0.06750756934229067,0.23495140655481148,0.23495140655481148,0.21430923210222133,5.094357072715141,5.094357072715141,6.145457372294672,6.145457372294672,5.952652329450032,4087.3829834528256,4087.3829834528256,0.0,4541.536648280918,0.0,4087.3829834528256,4541.536648280918
2019/09/19 01:00:00,2918.7174440451777,0.0,2957.237532712343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914212489687847,0.04914212489687847,0.2483592937519629,0.2483592937519629,0.20348018502121032,5.049996056617147,5.049996056617147,6.280269502639825,6.280269502639825,5.858644104594262,2918.7174440451777,2918.7174440451777,0.0,3243.0193822724195,0.0,2918.7174440451777,3243.0193822724195
2019/09/19 02:00:00,3629.4711485737203,0.0,5235.136713419513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028457058687335765,0.028457058687335765,0.24249658592318285,0.24249658592318285,0.19416028486253453,5.016763961233622,5.016763961233622,6.220392863576464,6.220392863576464,5.781665260595247,3629.4711485737203,3629.4711485737203,0.0,4032.745720637467,0.0,3629.4711485737203,4032.745720637467
2019/09/19 03:00:00,2959.163766086862,0.0,3383.777337604694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01139084782542748,0.01139084782542748,0.2536126617301767,0.2536126617301767,0.18576675529410516,5.002685934805584,5.002685934805584,6.335150025839539,6.335150025839539,5.715445294670175,2959.163766086862,2959.163766086862,0.0,3287.9597400965135,0.0,2959.163766086862,3287.9597400965135
2019/09/19 04:00:00,4417.039415496319,0.0,6649.578721925286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00837060499920543,-0.00837060499920543,0.2571901270748671,0.2571901270748671,0.1753321200976865,5.001450427079902,5.001450427079902,6.3731870768755385,6.3731870768755385,5.637224878225851,4417.039415496319,4417.039415496319,0.0,4907.821572773687,0.0,4417.039415496319,4907.821572773687
