Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2019/01/01 21:00:00,218.1822950236696,0.0,1211.8060559359797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423702051657533,1.0423702051657533,-0.3406023393541046,-0.35915056117985467,27.937297530563256,27.937297530563256,7.413155307405631,7.684479284401917,218.1822950236696,218.1822950236696,0.0,242.42477224852178,0.0,218.1822950236696,242.42477224852178,0.0,217.835,217.835,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 22:00:00,201.08063149887474,0.0,1307.0362895335368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0281557989924044,1.0281557989924044,-0.3495734396584959,-0.3752874563415169,27.32008320708256,27.32008320708256,7.5425578253004915,7.932444706493868,201.08063149887474,201.08063149887474,0.0,223.4229238876386,0.0,201.08063149887474,223.4229238876386,0.0,200.416,200.416,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 23:00:00,141.26654578625497,0.0,1224.191665122413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9675922037956989,0.9675922037956989,-0.3783065456142505,-0.4153265739076508,24.775187824408576,24.775187824408576,7.980070073026354,8.595720867438729,141.26654578625497,141.26654578625497,0.0,156.9628286513944,0.0,141.26654578625497,156.9628286513944,0.0,141.256,141.256,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 00:00:00,90.92001294709749,0.0,1160.001724018969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7694374987227951,0.7694374987227951,-0.41519658378310237,-0.4598431694976034,17.473433584811772,17.473433584811772,8.593456491548778,9.4138400840299,90.92001294709749,90.92001294709749,0.0,101.0222366078861,0.0,90.92001294709749,101.0222366078861,0.0,90.9158,90.9158,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 01:00:00,40.01929904939455,0.0,561.344127808777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5404938293250606,0.5404938293250606,-0.45032512187631574,-0.5001315143476209,11.113571870053278,11.113571870053278,9.231760288275737,10.227795546817546,40.01929904939455,40.01929904939455,0.0,44.465887832660606,0.0,40.01929904939455,44.465887832660606,0.0,40.0079,40.0079,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 02:00:00,23.95254919690666,0.0,50.345651333960326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515632566245845,0.8515632566245845,-0.3096658101618162,-0.4285926723532902,20.302951949026507,20.302951949026507,6.993116906444655,8.830620982778015,23.95254919690666,23.95254919690666,0.0,26.61394355211851,0.0,23.95254919690666,26.61394355211851,0.0,23.9526,23.9526,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 03:00:00,28.704859987729193,0.0,54.73342022899369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408305723718364,0.8408305723718364,-0.4289067852111405,-0.5543356116033424,19.917071643289574,19.917071643289574,8.836274413820817,11.433583227333472,28.704859987729193,28.704859987729193,0.0,31.89428887525466,0.0,28.704859987729193,31.89428887525466,0.0,28.7049,28.7049,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 04:00:00,23.900893074522237,0.0,36.48894681932912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8820870399356812,0.8820870399356812,-0.40278877380166983,-0.5676426570464014,21.426493450368767,21.426493450368767,8.380649402101781,11.74906317205361,23.900893074522237,23.900893074522237,0.0,26.556547860580263,0.0,23.900893074522237,26.556547860580263,0.0,23.9525,23.9525,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 05:00:00,40.71725750918196,0.0,91.22236704832281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9026643893229132,0.9026643893229132,-0.39265293703614057,-0.5812052821767121,22.205508974587147,22.205508974587147,8.211698946090308,12.078505951761898,40.71725750918196,40.71725750918196,0.0,45.241397232424404,0.0,40.71725750918196,45.241397232424404,0.0,40.7172,40.7172,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/02 06:00:00,100.21456613143977,0.0,218.93368091597475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0311719616001922,1.0311719616001922,-0.37983284221404146,-0.5752087237973285,27.45042967738752,27.45042967738752,8.00429503610394,11.931862424100814,100.21456613143977,100.21456613143977,0.0,111.34951792382196,0.0,100.21456613143977,111.34951792382196,0.0,108.126,108.126,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
