Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/03/02 18:00:00,2863.734442523275,0,15080.801083392851,0,0,0,0,0,0,0,0,0,0,-0.6714730061920012,0.1321364537017761,0.1321364537017761,-0.3865032501727497,-0.6874871158893923,14.47448727266891,5.361712309025847,5.361712309025847,8.111333006816423,14.936436522545009,2863.734442523275,2863.734442523275,0.0,3181.9271583591944,0.0,2863.734442523275,3181.9271583591944
2019/03/02 19:00:00,2884.5946483260263,0,13920.605368679599,0,0,0,0,0,0,0,0,0,0,-0.879194057614509,0.14978176513724745,0.14978176513724745,-0.3617575628051603,-0.9865106016482885,21.318359153429014,5.464869074318159,5.464869074318159,7.72378795337751,25.555130838285947,2884.5946483260263,2884.5946483260263,0.0,3205.105164806696,0.0,2884.5946483260263,3205.105164806696
2019/03/02 20:00:00,2790.710808005167,0,13251.49919957094,0,0,0,0,0,0,0,0,0,0,-0.9527398774220299,0.22855368018731378,0.22855368018731378,-0.32887621684904483,-1.088536204361456,24.172627108962743,6.083789836719276,6.083789836719276,7.24916800536738,29.9920944300395,2790.710808005167,2790.710808005167,0.0,3100.789786672408,0.0,2790.710808005167,3100.789786672408
2019/03/02 21:00:00,2512.3350337665684,0,13626.176061116557,0,0,0,0,0,0,0,0,0,0,-0.988683756524486,0.2624973218465827,0.2624973218465827,-0.30474587769089173,-1.1340480524002374,25.64560580730415,6.430607222710776,6.430607222710776,6.930054127440641,32.08982017927943,2512.3350337665684,2512.3350337665684,0.0,2791.4833708517426,0.0,2512.3350337665684,2791.4833708517426
2019/03/02 22:00:00,2463.6534235128865,0,13500.886537865072,0,0,0,0,0,0,0,0,0,0,-1.018307216619734,0.2032882956895069,0.2032882956895069,-0.31375323784991466,-1.1782680856893375,26.896813293708078,5.85702254327191,5.85702254327191,7.046287918247941,34.1923233819241,2463.6534235128865,2463.6534235128865,0.0,2737.392692792096,0.0,2463.6534235128865,2737.392692792096
2019/03/02 23:00:00,1747.2154334188936,0,12392.04193728203,0,0,0,0,0,0,0,0,0,0,-1.0277015461653105,0.0994267634205738,0.0994267634205738,-0.3435404828302089,-1.1974361937858164,27.30048132479122,5.204728922064646,5.204728922064646,7.455159492559886,35.12225167401894,1747.2154334188936,1747.2154334188936,0.0,1941.3504815765484,0.0,1747.2154334188936,1941.3504815765484
2019/03/03 00:00:00,1147.5364452329602,0,11694.924461732173,0,0,0,0,0,0,0,0,0,0,-1.0463132719751493,-0.1324089007006089,-0.1324089007006089,-0.38783264432754017,-1.2316883567607195,28.109821107603878,5.36320659953347,5.36320659953347,8.132892475444805,36.810230976874536,1147.5364452329602,1147.5364452329602,0.0,1275.0404947032891,0.0,1147.5364452329602,1275.0404947032891
2019/03/03 01:00:00,608.7031363224223,0,7006.056470569646,0,0,0,0,0,0,0,0,0,0,-1.0266628069359833,-0.3692038251504022,-0.3692038251504022,-0.4406003542724376,-1.2019472759464862,27.25568640635099,7.837658018912379,7.837658018912379,9.049750855471274,35.342667913469484,608.7031363224223,608.7031363224223,0.0,676.3368181360248,0.0,608.7031363224223,676.3368181360248
2019/03/03 02:00:00,374.1310547942746,0,490.76801824109265,0,0,0,0,0,0,0,0,0,0,-1.0538216721066886,0.14051570254660753,0.14051570254660753,-0.2623073488643761,-1.2511446319182573,28.439898790652805,5.409082883665548,5.409082883665548,6.428531390874454,37.7832837085322,374.1310547942746,374.1310547942746,0.0,415.7011719936384,0.0,374.1310547942746,415.7011719936384
2019/03/03 03:00:00,429.15062439568675,0,633.1362707943915,0,0,0,0,0,0,0,0,0,0,-1.0883190517538732,0.28111220837447726,0.28111220837447726,-0.2935659152864921,-1.310134863350473,29.982253598299764,6.641384548594758,6.641384548594758,6.790557512184279,40.790902063281486,429.15062439568675,429.15062439568675,0.0,476.8340271063186,0.0,429.15062439568675,476.8340271063186
