Node,OH,NomV,Vpu,P,Q,Qmin,Qmax,Vpu_obj,Phases,PhasesV,Subest,Feeder,
26956ab1-6006-410f-8761-8c5336af7478_15 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_16 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_17 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_18 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_19 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_20 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_21 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_22 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_23 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_24 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_25 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_26 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_27 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_28 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_29 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_30 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_31 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_32 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_33 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_34 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_35 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_36 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_37 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_38 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_39 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_40 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_41 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_42 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_43 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_44 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_45 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_46 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
26956ab1-6006-410f-8761-8c5336af7478_47 ,S ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0P ,0P_BT ,True ,True ,
