Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/10/12 19:00:00,90.39213376211198,0,306.0557081315956,0,0,0,0,0,0,0,0,0,0,0.5495124301791147,0.5495124301791147,11.321132314050388,11.321132314050388,90.39213376211198,90.39213376211198,0.0,100.43570418012442,0.0,90.39213376211198,100.43570418012442
2019/10/12 20:00:00,83.53491518263168,0,286.22955458987724,0,0,0,0,0,0,0,0,0,0,0.5439565203376557,0.5439565203376557,11.192847830845011,11.192847830845011,83.53491518263168,83.53491518263168,0.0,92.8165724251463,0.0,83.53491518263168,92.8165724251463
2019/10/12 21:00:00,79.05600976162664,0,282.0549769441693,0,0,0,0,0,0,0,0,0,0,0.539766167176318,0.539766167176318,11.096978596713896,11.096978596713896,79.05600976162664,79.05600976162664,0.0,87.84001084625181,0.0,79.05600976162664,87.84001084625181
2019/10/12 22:00:00,51.39643630194984,0,218.37553086427073,0,0,0,0,0,0,0,0,0,0,0.4985076904816107,0.4985076904816107,10.193634116272861,10.193634116272861,51.39643630194984,51.39643630194984,0.0,57.107151446610935,0.0,51.39643630194984,57.107151446610935
2019/10/12 23:00:00,32.267859422734176,0,164.84979559437932,0,0,0,0,0,0,0,0,0,0,0.4633858604433451,0.4633858604433451,9.482607542829015,9.482607542829015,32.267859422734176,32.267859422734176,0.0,35.85317713637131,0.0,32.267859422734176,35.85317713637131
2019/10/13 00:00:00,13.088636682355016,0,162.69481139298668,0,0,0,0,0,0,0,0,0,0,0.42191624084771917,0.42191624084771917,8.711459315115476,8.711459315115476,13.088636682355016,13.088636682355016,0.0,14.54292964706113,0.0,13.088636682355016,14.54292964706113
2019/10/13 01:00:00,8.182529403163166,0,18.006229018916773,0,0,0,0,0,0,0,0,0,0,0.5453101428002233,0.5453101428002233,11.223979351196206,11.223979351196206,8.182529403163166,8.182529403163166,0.0,9.091699336847961,0.0,8.182529403163166,9.091699336847961
2019/10/13 02:00:00,9.694698013751374,0,17.994724694800635,0,0,0,0,0,0,0,0,0,0,0.5285153068496323,0.5285153068496323,10.843337989844656,10.843337989844656,9.694698013751374,9.694698013751374,0.0,10.77188668194597,0.0,9.694698013751374,10.77188668194597
2019/10/13 03:00:00,8.132285807541123,0,11.996483129867093,0,0,0,0,0,0,0,0,0,0,0.5163966857562337,0.5163966857562337,10.576265303391352,10.576265303391352,8.132285807541123,8.132285807541123,0.0,9.035873119490137,0.0,8.132285807541123,9.035873119490137
2019/10/13 04:00:00,12.819566972500144,0,29.991207824667725,0,0,0,0,0,0,0,0,0,0,0.5057228750002069,0.5057228750002069,10.346296325297914,10.346296325297914,12.819566972500144,12.819566972500144,0.0,14.243963302777939,0.0,12.819566972500144,14.243963302777939
